No.,Material,Form,Present,Ch.,Ancient,x,Unit
260,Bronze,37,654.8,,652.,5,130.4
261,Limestone,49,260.5,,260.9,2,130.4
262,Bronze,25,16.5,,16.3,½,130.4
263,Bronze,67,3915.0,,3922.,30,130.8
264,Bronze,57,261.1,,262.0,2,131.0
265,Bronze,frog,136.3,5,131.,1,131.
266,"Basalt, bl.",33,7871-,,7872.,60,131.2
267,"Basalt, br.",80,657.7,,6583.,5,131.7
268,Bronze,63-66,132.2,7,132.,1,132.
269,Bronze,51,33.0,1.5,33.0,½,132.0
270,Bronze,57,29.5,3.5,33.,½,132.
271,Bronze,51-52,26.8,,26.4,½,132.
272,Bronze,66,339.5,12,334.,2,133.6
273,Alabaster,58,639.0,,639.0,10,63.90
274,Bronze,58,130.6,7.6,129,2,64.5
275,Lead,64,126.0,11,129,2,64.5
276,Lead,60-69,656.7,130,647,10,64.7
277,"Syenite, bl.",27-33,1622.5,,1623.0,25,64.92
278,"Basalt, br.",27-40,3131.9,120,3250,50,65.0
279,Limestone,26,65.0,,65.0,1,65.0
280,"Syenite, bl.",4-11,6495,,6502,100,65.02
281,Syenite,12-43,6511,,6519,100,65.19
282,"Basalt, br.",11,2607.6,,2608.6,40,65.21
283,"Basalt, br.",32,6523,,6529,100,65.29
284,Limestone,27-38,643.9,,653,10,65.3
285,"Basalt, br.",27,1632.1,,1634.5,25,65.38
286,Bronze,40,31.9,8,32.7,1,65.4
287,"Basalt, br.",18-27,6512,,6547,100,65.47
288,Bronze,58,1326.6,,1310,25,65.5
289,"Basalt, bl.",19-27,262.3,,262.5,4,65.62
290,"Basalt, br.",11,2628.1,,2629,40,65.72
291,"Basalt, br.",19-27,6570.4,,6582,100,65.82
292,Limestone,39,6588.5,,6586?,100,65.86
293,"Basalt, bl.",30,658.8,,658.9,10,65.89
294,Limestone,32-40,658.5,,659.0,10,65.90
295,"Basalt, bl.",12-23,2631.5,,2637,40,65.92
296,Limestone,12-11,2521.6,120,2640,40,56.00
297,Lead,62,64.7,50,66.0,10,66.0
298,Lead,64-70,228.3,180,330,5,66.
299,Limestone,38,390.0,,329.9,5,66.00
300,Lead,63,153.5,50,133,2,66.
301,"Basalt, bl.",38,132.0,,132.0,2,66.0
302,Bronze,69,121.8,16,132,2,66.
303,Bronze,34-37,134.2,,132,2,66.0
304,"Syenite, gr.",3-12,5278.7,,5283,80,66.04
305,"Syenite, bl.",36,6608,,6609,100,66.09
306,Limestone,8,"198,280",,"198,300",3000,66.10
307,Syenite,36-37,6574,,6626.,100,66.26
308,"Bronze, L.",26-27,1332.2,,1326,20,66.3
309,Bronze,26,269.5,,265.5,4,66.37
310,"Basalt, br.",18-38,1327.5,,1327.5,20,66.38
311,"Basalt, br.",39,1657.9,,1660.,25,66.40
312,"Syenite, gr.",37-38,2658.1,,2660.,40,66.50
313,Limestone,18,659.7,,665,10,66.5
314,"Basalt, bl.",26-27,133.0,,133.0,2,66.5
315,"Basalt, br.",19,665.9,,666.3,10,66.63
316,Lead,62,647.6,20,667,10,66.7
317,"Basalt, bl.",18,667.3,,667.8,10,66.78
318,"Basalt, bl.",18,2665.7,,2673,40,66.82
319,"Basalt, br.",26-28,1335.3,,1336.8,20,66.84
320,"Syenite, gr.",77,6635,,6637,100,66.69
321,"Basalt, bl.",18-37,6644,,6700,100,67.0
322,"Basalt, bl.",12-40,1336.0,,1340,20,67.0
323,Bronze,60,68.8,1.8,67.0,1,67.0
324,"Syenite, gr.",11-38,2676.8,,2681.4,40,67.03
325,Alabaster,23,132.1,,134.2,2,67.1
326,Alabaster,38,134.2,,134.2,2,67.1
327,"Basalt, br.",38,6719,,6719,100,67.19
328,"Basalt, bl.",29,6680,,6735,100,67.35
329,"Basalt, bl.",27-33,1671.9,,1684,25,67.36
330,"Basalt, bl.",11-40,1347.3,,1347.3,20,67.36
331,"Syenite, gn.",32,134.7,,134.7,2,67.4
332,Bronze,90,331.1,,337,5,67.4
333,Limestone,8-44,"201,380",,"202,400",3000,67.47
334,"Basalt, bl.",23-27,3362.6,,3374,50,67.48
335,Alabaster,12-43,6705,,6754,100,67.54
336,"Basalt, bl.",33,3370.9,,3379,50,67.58
337,"Basalt, br.",11-12,2707.8,,2708,40,67.70
338,Limestone,"16, 03",671.4,,677,10,67.7
339,Bronze,37,264.4,5.6,270,4,67.7
340,Lead,68-70,265.3,26,271,4,67.7
341,"Basalt, br.",18-27,1265.0,60,1355,20,67.75
342,Bronze,26,44.8,,45.2,½,67.8
343,"Syenite, br.",38,6796,,6797,100,67.97
344,Alabaster,38,649.2,30,680,10,68.0
345,Lead,70,40.7,7,34,½,68.
346,"Basalt, bl.",38,136.1,,136.1,2,68.05
347,"Basalt, bl.",23-27,1358.9,,1362.4,20,68.12
348,"Basalt, bl.",23-27,2721.9,,2727.,40,68.17
349,"Syenite, br.",11-38,681.2,,681.7,10,68.17
350,"Basalt, bl.",11-38,681.4,,682.0,10,68.20
351,Lead,68,273.2,8,273,4,68.2
352,Limestone,26-29,681.3,,682.3,10,68.23
353,Limestone,11-38,973.1,,978.1,4,68.93
354,Bronze,33,22.9,,22.8,½,68.4
355,"Basalt, bl.",25-27,6838,,6848,100,68.48
356,Bronze,12-25,130.5,6.5,137,2,68.5
357,Limestone,23-27,69.4,,69.4,1,69.4
358,Bronze,25,23.9,4,24,½,72.
359,Bronze,26,12.7,3,12.4,⅓,74.4
360,Bronze,16.98,16.8,,16.7,½,200.4
361,"(Stone), bl.",56,1766.2,,1766.2,8,208.3
362,"Basalt, bl.",20,17.4,,17.4,¼,208.8
363,"Basalt, bl.",16,4144.8,,4190,20,209.5
364,Bronze,26-33,65.9,65,105,½,210
365,Alabaster,35,78.7,31,105,½,210
366,Alabaster,25,105.4,,105.6,½,211.2
367,Bronze,25,26.4,4.,26.4,⅛,211.2
368,Sandstone,2-11,"51,040",,"51,100",240,212.9
369,Bronze,24-26,436.1,10,426.,2,213.
370,Bronze,25,110.4,3.4,107,½,214.
371,Marble,65,831.6,30,860,4,215.
372,Bronze,33,52.9,,54.1,¼,216.4
373,Bronze,65,170.9.5,,1740,8,217.5
374,"Basalt, bl.",33,27.2,,27.2,⅛,217.5
375,"Basalt, br.",11-19,435.2,,435.2,2,217.6
376,Bronze,36,190.7,57,218,1,218
377,Bronze,36,20.2,2,18.2,¼,218.4
378,Bronze,25,112.0,2.5,109.5,½,219.
379,Lead,86,2521.8,320,2200,10,220
380,Limestone,5,442.7,,442.7,2,221.3
381,Bronze,21-35,230.4,17,222.,1,222.
382,Bronze,57,7.0,2,7.0,1,222.
383,Bronze,"25, 97",18.7,,18.5,⅟₁₂,222.
384,Bronze,64-67,223.8,,223.,1,223.
385,"Basalt, bl.",42-46,4410.0,,4470.,20,223.5
386,"Granite, red",5,"53,980",,"54,130",240,225.4
387,"(Stone), bl.",7,5646,,5658,25,226.3
388,Alabaster,23,2646.9,B,4550,20,227.5
389,Bronze,25,61.0,4,57.,¼,228.
390,Bronze,40,54.3,3,57.,¼,228.
391,"Syenite, bl.",3,182.4,,1825.,8,228.1
392,"Basalt, bl.",27-40,457.0,,457.0,2,228.5
393,Alabaster,20-40,227.0,,228.5,1,228.5
394,Bronze,18-38,38.8,,38.3,⅙,229.8
395,Bronze,25,112.5,3,115?,½,230?
396,"Syenite, bl.",4,5697.5,,5770,25,230.8
